age,income,employment_length,debt,credit_history_length,num_credit_cards,num_loans,monthly_emi,payment_history,housing,purpose,job_type,existing_defaults,credit_risk
43,39460.0,24.0,20567.0,5,4,1,935.0,average,own,medical,salaried,0,0
67,33140.0,26.0,5832.0,13,6,2,343.0,average,own,home_renovation,salaried,0,0
45,56947.0,13.0,7305.0,20,0,2,664.0,good,own,business,unemployed,0,0
60,63183.0,35.0,46944.0,0,1,0,1956.0,excellent,with_parents,medical,unemployed,0,1
46,29365.0,38.0,23793.0,24,2,1,496.0,good,rent,education,salaried,0,0
34,45806.0,15.0,34357.0,8,4,0,747.0,good,rent,business,salaried,0,0
33,68122.0,21.0,55449.0,24,7,4,956.0,good,rent,education,unemployed,0,1
65,57403.0,20.0,29858.0,26,5,2,878.0,average,rent,personal,self_employed,0,0
69,60079.0,20.0,44484.0,23,5,3,4044.0,excellent,rent,personal,salaried,1,1
62,69624.0,7.0,26209.0,12,5,0,874.0,good,rent,personal,salaried,0,0
21,69387.0,15.0,42765.0,25,7,4,1475.0,excellent,own,car,salaried,0,0
55,63516.0,30.0,56562.0,28,7,2,1885.0,average,rent,education,unemployed,0,1
69,47609.0,9.0,11515.0,18,2,1,548.0,good,rent,medical,unemployed,1,1
25,38115.0,31.0,14538.0,16,3,2,255.0,average,rent,home_renovation,student,0,0
39,46863.0,33.0,21465.0,10,2,1,1022.0,excellent,with_parents,home_renovation,unemployed,0,0
27,35381.0,8.0,5920.0,27,5,1,538.0,good,own,personal,salaried,0,0
57,9855.0,16.0,1172.0,27,6,0,28.0,average,rent,home_renovation,salaried,0,0
36,39969.0,10.0,30187.0,7,4,0,1161.0,excellent,own,business,self_employed,0,0
22,51435.0,31.0,45277.0,22,1,2,5031.0,average,rent,education,self_employed,1,1
43,34429.0,9.0,13566.0,28,1,4,348.0,good,own,education,salaried,0,0
32,41530.0,21.0,5171.0,4,2,2,157.0,good,own,education,salaried,0,0
68,42227.0,,4474.0,9,5,3,104.0,good,own,business,student,0,0
27,69423.0,3.0,56067.0,6,7,1,1219.0,good,rent,medical,salaried,0,1
44,38530.0,24.0,17117.0,9,0,1,519.0,good,own,car,salaried,0,0
20,69419.0,20.0,22355.0,3,6,0,1016.0,good,with_parents,business,self_employed,0,0
38,8000.0,36.0,3640.0,8,2,4,192.0,average,own,education,self_employed,0,0
46,69261.0,37.0,22202.0,26,5,0,1850.0,good,with_parents,education,salaried,0,0
65,68353.0,0.0,31831.0,25,3,3,1179.0,excellent,rent,education,unemployed,0,0
25,61241.0,24.0,47806.0,13,1,2,854.0,excellent,own,medical,salaried,0,0
62,8785.0,35.0,4862.0,1,1,2,810.0,excellent,own,home_renovation,salaried,0,1
26,63340.0,16.0,40566.0,24,6,4,1193.0,good,rent,car,salaried,0,0
65,44098.0,23.0,15874.0,8,1,0,278.0,average,rent,business,self_employed,0,0
53,8000.0,1.0,5422.0,20,0,0,151.0,average,rent,education,student,0,1
32,68367.0,39.0,42157.0,26,5,3,1204.0,excellent,own,personal,unemployed,0,0
35,70995.0,14.0,10765.0,0,5,2,538.0,poor,own,car,student,0,1
54,,31.0,5753.0,22,6,0,250.0,good,with_parents,personal,salaried,2,1
68,48158.0,38.0,12918.0,9,5,4,323.0,poor,own,car,salaried,0,0
58,69995.0,5.0,51340.0,9,7,2,933.0,average,own,education,salaried,0,0
22,67143.0,0.0,27666.0,19,6,3,790.0,average,own,car,salaried,1,1
20,60049.0,22.0,53773.0,24,5,4,1379.0,excellent,rent,car,unemployed,0,0
24,8000.0,38.0,1029.0,21,0,1,22.0,excellent,rent,education,self_employed,0,0
60,58132.0,16.0,41465.0,28,4,3,2592.0,excellent,own,medical,student,1,0
22,41074.0,33.0,25575.0,2,2,4,799.0,average,own,personal,salaried,0,0
47,62925.0,28.0,44197.0,5,2,0,1524.0,good,own,medical,salaried,0,0
36,49611.0,8.0,15449.0,28,5,1,386.0,average,own,personal,salaried,0,0
44,44642.0,12.0,20903.0,25,3,3,475.0,good,own,home_renovation,salaried,0,0
62,56536.0,,41103.0,5,1,0,3162.0,average,with_parents,personal,salaried,0,1
52,41906.0,5.0,10378.0,20,0,1,185.0,excellent,own,personal,salaried,0,0
28,44563.0,19.0,10790.0,1,3,2,469.0,excellent,own,car,salaried,2,0
54,35006.0,2.0,18147.0,25,7,0,1008.0,good,rent,home_renovation,salaried,2,1
32,16103.0,16.0,7971.0,25,3,4,159.0,good,own,education,salaried,1,0
49,55221.0,11.0,16010.0,17,5,3,552.0,good,rent,education,salaried,1,0
66,30491.0,0.0,9250.0,22,0,1,165.0,average,own,business,salaried,2,1
33,41386.0,16.0,11843.0,1,2,0,423.0,excellent,own,home_renovation,salaried,0,0
26,50166.0,2.0,35406.0,11,1,2,2083.0,good,with_parents,car,salaried,0,0
32,8000.0,25.0,4833.0,21,2,3,90.0,average,rent,business,salaried,0,0
41,11496.0,14.0,8709.0,4,3,3,249.0,excellent,own,business,salaried,1,0
58,39605.0,35.0,34819.0,19,7,0,967.0,poor,rent,education,salaried,0,1
39,53182.0,31.0,24094.0,6,1,2,730.0,poor,with_parents,personal,salaried,0,1
34,58393.0,31.0,6230.0,23,4,1,231.0,excellent,own,car,self_employed,0,0
63,16356.0,3.0,1486.0,15,3,0,30.0,excellent,rent,home_renovation,self_employed,0,0
36,56459.0,17.0,17012.0,19,2,1,516.0,good,with_parents,business,unemployed,0,0
65,40589.0,18.0,34203.0,0,2,3,1900.0,average,own,car,salaried,0,1
42,29103.0,34.0,14398.0,0,5,1,480.0,good,rent,education,salaried,0,0
44,33326.0,39.0,9365.0,16,2,2,191.0,good,rent,business,unemployed,0,0
43,59433.0,13.0,23137.0,26,0,4,413.0,average,rent,business,salaried,0,0
63,49932.0,32.0,27902.0,0,3,2,547.0,excellent,own,medical,self_employed,0,0
59,45906.0,13.0,27773.0,20,6,1,2314.0,average,own,education,salaried,0,0
47,49383.0,33.0,8930.0,19,6,0,179.0,average,rent,medical,salaried,0,0
33,61706.0,3.0,54331.0,12,7,3,4939.0,good,own,education,self_employed,0,1
63,43252.0,23.0,22191.0,29,1,4,765.0,average,own,education,salaried,1,0
19,45978.0,28.0,7602.0,8,2,0,317.0,average,own,medical,salaried,0,0
43,65487.0,18.0,53018.0,14,5,0,2209.0,excellent,own,car,salaried,0,0
25,39031.0,5.0,4428.0,2,5,2,108.0,good,with_parents,car,salaried,0,0
27,56127.0,32.0,46113.0,13,2,1,823.0,good,own,car,salaried,0,0
42,35933.0,39.0,32235.0,22,0,2,2302.0,excellent,with_parents,personal,salaried,1,0
19,37514.0,18.0,24210.0,10,5,1,457.0,poor,own,business,self_employed,0,1
62,43127.0,0.0,30399.0,23,6,2,741.0,excellent,rent,car,self_employed,0,0
26,54275.0,4.0,18275.0,21,1,0,425.0,average,own,personal,salaried,0,0
42,66495.0,26.0,56543.0,11,3,3,1257.0,good,rent,business,student,2,1
29,46738.0,15.0,23381.0,12,4,1,688.0,excellent,rent,car,salaried,1,0
69,18003.0,5.0,12108.0,25,0,4,418.0,poor,own,education,salaried,0,1
35,56366.0,39.0,47093.0,12,7,4,889.0,average,with_parents,home_renovation,unemployed,0,1
26,89169.0,12.0,78371.0,0,7,0,7837.0,good,own,car,self_employed,1,1
53,46956.0,34.0,35603.0,23,5,2,614.0,excellent,rent,home_renovation,self_employed,0,0
53,14242.0,18.0,4380.0,9,3,2,74.0,excellent,with_parents,car,salaried,1,0
51,48054.0,11.0,41882.0,2,4,0,891.0,good,rent,education,salaried,0,0
23,44946.0,15.0,26244.0,23,7,4,525.0,excellent,with_parents,home_renovation,unemployed,0,0
60,43432.0,9.0,36528.0,27,2,4,1178.0,good,own,personal,salaried,0,0
57,62017.0,24.0,38741.0,3,2,2,2039.0,poor,own,education,self_employed,0,1
59,69809.0,19.0,21721.0,15,1,1,494.0,good,own,home_renovation,salaried,0,0
46,57305.0,30.0,20889.0,7,4,3,614.0,average,rent,home_renovation,unemployed,3,1
25,42605.0,3.0,22065.0,15,2,1,387.0,average,rent,medical,salaried,0,0
27,65262.0,22.0,47087.0,26,7,4,4281.0,good,own,medical,salaried,0,0
26,18111.0,1.0,5801.0,16,2,1,483.0,average,rent,education,salaried,0,0
30,32111.0,21.0,17429.0,18,6,3,415.0,good,own,education,self_employed,0,0
52,34117.0,36.0,11729.0,21,5,1,202.0,average,own,education,self_employed,1,0
51,44443.0,7.0,33039.0,14,7,1,1436.0,excellent,rent,business,salaried,1,0
66,54121.0,6.0,24177.0,15,7,1,863.0,excellent,own,personal,self_employed,0,0
41,41387.0,13.0,4768.0,14,7,1,97.0,average,rent,car,salaried,3,1
42,28691.0,2.0,5484.0,24,1,0,128.0,good,own,medical,salaried,1,0
55,62547.0,15.0,6376.0,1,3,4,1063.0,average,rent,home_renovation,salaried,1,0
53,40762.0,18.0,19338.0,10,7,3,2149.0,poor,own,medical,salaried,0,1
62,46838.0,17.0,6575.0,0,2,4,117.0,excellent,own,car,salaried,1,0
58,54919.0,15.0,8074.0,14,6,0,165.0,good,rent,education,salaried,0,0
40,45700.0,7.0,38840.0,25,7,0,747.0,good,rent,medical,self_employed,0,0
45,,32.0,36246.0,18,0,0,906.0,good,own,personal,self_employed,1,0
53,63549.0,11.0,27598.0,3,0,0,986.0,average,own,personal,self_employed,0,0
19,,10.0,42377.0,10,3,1,1324.0,excellent,rent,business,salaried,0,0
53,60530.0,4.0,3036.0,4,4,4,98.0,good,own,medical,student,1,0
55,54804.0,26.0,31341.0,2,1,2,550.0,average,rent,education,self_employed,1,1
65,81304.0,11.0,46666.0,12,6,3,3590.0,excellent,rent,home_renovation,salaried,0,0
32,52369.0,16.0,22981.0,9,5,0,479.0,average,own,business,unemployed,1,1
21,56484.0,5.0,21882.0,10,6,4,1042.0,good,own,education,salaried,0,0
19,64830.0,32.0,28336.0,17,0,0,616.0,poor,rent,business,salaried,0,0
23,46145.0,4.0,18583.0,1,0,0,2323.0,good,own,medical,salaried,1,1
44,33519.0,27.0,22489.0,6,3,0,608.0,excellent,rent,car,salaried,0,0
32,36465.0,13.0,6019.0,8,4,0,602.0,good,own,medical,unemployed,0,1
57,36639.0,4.0,7987.0,9,4,0,319.0,excellent,rent,education,salaried,0,0
45,27894.0,32.0,5675.0,17,3,3,299.0,poor,own,home_renovation,salaried,0,0
27,,18.0,13852.0,22,7,4,374.0,excellent,rent,home_renovation,student,0,0
33,33669.0,21.0,16716.0,6,6,0,539.0,average,own,education,student,1,1
33,48507.0,4.0,7011.0,26,0,0,135.0,good,own,business,self_employed,1,0
44,42144.0,1.0,33207.0,6,6,0,3019.0,good,rent,personal,salaried,0,1
60,44251.0,29.0,13397.0,2,6,0,327.0,excellent,own,education,salaried,1,0
31,55009.0,38.0,10350.0,11,1,1,230.0,good,own,medical,self_employed,0,0
69,35246.0,3.0,22003.0,6,0,1,393.0,good,own,home_renovation,salaried,0,1
50,56500.0,32.0,4654.0,16,4,2,465.0,excellent,own,car,salaried,1,0
57,73212.0,12.0,42241.0,25,5,0,2347.0,poor,with_parents,home_renovation,salaried,0,1
67,51176.0,19.0,32930.0,0,6,2,890.0,good,rent,personal,salaried,0,0
50,,6.0,7195.0,4,0,3,343.0,good,own,home_renovation,salaried,0,0
22,33930.0,14.0,2907.0,15,6,2,484.0,good,rent,personal,salaried,0,0
48,40531.0,22.0,14555.0,14,1,4,809.0,excellent,rent,education,salaried,1,0
55,34292.0,13.0,4588.0,1,7,1,78.0,poor,with_parents,home_renovation,salaried,0,0
41,27159.0,22.0,4047.0,8,2,1,253.0,good,own,business,salaried,0,0
57,,18.0,12715.0,6,0,0,219.0,excellent,rent,medical,salaried,0,0
63,41018.0,28.0,12352.0,3,3,0,950.0,good,rent,business,self_employed,0,0
33,48415.0,19.0,24230.0,19,2,3,808.0,good,own,medical,unemployed,0,0
61,66355.0,28.0,41580.0,17,6,3,924.0,good,own,home_renovation,salaried,0,0
47,40746.0,23.0,22567.0,20,3,4,610.0,average,own,home_renovation,salaried,1,1
54,23662.0,17.0,4167.0,3,3,0,144.0,excellent,rent,medical,salaried,2,0
31,37820.0,9.0,7423.0,27,3,0,225.0,excellent,own,car,salaried,0,0
50,58868.0,7.0,46915.0,12,0,3,2469.0,average,with_parents,home_renovation,salaried,0,1
25,57182.0,25.0,29998.0,0,4,3,600.0,excellent,own,car,salaried,0,0
69,54336.0,28.0,42895.0,27,6,3,5362.0,average,rent,car,self_employed,2,1
40,33755.0,9.0,12348.0,23,2,1,301.0,excellent,with_parents,medical,self_employed,3,1
46,58534.0,16.0,33495.0,2,1,2,1047.0,average,rent,car,salaried,0,1
20,62584.0,1.0,30986.0,15,4,2,1239.0,good,rent,car,salaried,0,0
60,32482.0,5.0,10435.0,29,6,0,201.0,good,rent,education,self_employed,0,0
63,44252.0,4.0,19888.0,21,7,1,994.0,excellent,own,business,salaried,0,0
24,81367.0,27.0,38822.0,3,7,3,1213.0,excellent,rent,car,self_employed,0,0
46,31682.0,4.0,6991.0,24,0,0,121.0,excellent,own,business,salaried,0,0
46,14308.0,17.0,4546.0,22,3,1,91.0,excellent,rent,car,self_employed,0,0
62,69892.0,25.0,50511.0,24,1,4,1098.0,good,own,business,student,0,0
62,65459.0,19.0,54228.0,15,6,1,1643.0,good,rent,home_renovation,student,0,1
38,36775.0,26.0,13085.0,25,2,0,436.0,good,rent,home_renovation,salaried,0,0
48,42966.0,11.0,13359.0,18,6,2,284.0,average,own,business,salaried,0,0
29,22951.0,6.0,4956.0,0,4,3,101.0,average,own,car,salaried,0,0
46,46601.0,2.0,29206.0,4,7,4,573.0,good,with_parents,education,student,0,0
43,65986.0,9.0,21421.0,18,5,1,564.0,good,own,business,salaried,0,0
57,35233.0,33.0,31343.0,21,4,0,615.0,good,own,personal,salaried,0,0
51,60788.0,24.0,19867.0,23,6,0,1046.0,good,own,education,salaried,0,0
19,53347.0,,20539.0,10,1,3,1580.0,average,with_parents,personal,salaried,0,0
45,55401.0,15.0,31182.0,12,6,0,588.0,excellent,with_parents,business,salaried,0,0
31,36282.0,1.0,26538.0,19,6,0,1397.0,excellent,rent,car,salaried,0,0
59,38617.0,23.0,17343.0,4,0,3,2890.0,average,rent,personal,salaried,0,1
21,11758.0,9.0,4812.0,20,2,4,229.0,excellent,own,business,salaried,1,0
57,34800.0,37.0,31191.0,3,1,2,1356.0,average,with_parents,education,student,0,1
24,65943.0,21.0,3885.0,3,6,2,324.0,average,own,car,self_employed,0,0
26,28272.0,25.0,22923.0,3,3,1,1146.0,excellent,own,personal,unemployed,0,1
45,30955.0,38.0,5472.0,3,2,4,189.0,excellent,own,business,salaried,0,0
27,56523.0,26.0,40586.0,19,4,1,752.0,good,rent,car,self_employed,0,0
55,52250.0,28.0,30056.0,20,1,2,537.0,good,rent,car,salaried,0,0
51,57418.0,37.0,19555.0,17,4,3,1086.0,excellent,own,home_renovation,salaried,0,0
69,24062.0,19.0,19076.0,17,7,0,1363.0,average,with_parents,car,salaried,2,1
60,91153.0,26.0,5558.0,15,6,2,278.0,good,own,business,salaried,0,0
62,23116.0,19.0,5610.0,8,4,4,140.0,good,own,education,salaried,0,0
42,47776.0,18.0,25410.0,17,4,2,876.0,excellent,own,medical,student,0,0
33,42144.0,19.0,14700.0,21,0,4,387.0,average,rent,home_renovation,salaried,2,1
50,23640.0,34.0,13447.0,1,4,4,640.0,excellent,rent,business,salaried,1,0
50,38336.0,1.0,2702.0,20,3,4,208.0,average,own,business,salaried,0,0
42,45420.0,29.0,6767.0,3,3,1,199.0,good,rent,business,salaried,1,0
59,33300.0,33.0,5262.0,11,2,3,188.0,good,own,personal,salaried,0,0
67,61870.0,21.0,13048.0,6,6,2,261.0,average,rent,personal,salaried,1,0
67,42091.0,2.0,18538.0,14,5,3,515.0,average,with_parents,education,self_employed,1,1
30,20857.0,5.0,14377.0,6,7,0,319.0,good,own,business,salaried,0,0
57,19330.0,14.0,15845.0,28,4,2,293.0,excellent,rent,personal,salaried,0,0
20,55911.0,26.0,42496.0,21,4,3,720.0,average,rent,personal,self_employed,0,0
21,18238.0,9.0,3964.0,25,1,3,209.0,good,own,personal,unemployed,0,0
67,50696.0,8.0,21545.0,20,0,0,371.0,excellent,with_parents,education,unemployed,0,0
55,53004.0,32.0,11634.0,16,5,4,332.0,poor,own,education,self_employed,0,0
67,,31.0,7443.0,15,2,2,128.0,excellent,own,business,salaried,0,0
35,61033.0,5.0,29175.0,27,7,2,663.0,excellent,own,home_renovation,salaried,0,0
67,14080.0,35.0,1519.0,18,5,0,47.0,excellent,own,business,self_employed,0,0
20,50336.0,1.0,11852.0,8,4,4,228.0,good,rent,personal,unemployed,0,0
20,44265.0,28.0,37407.0,13,1,2,1781.0,average,rent,medical,salaried,0,1
46,42858.0,3.0,19123.0,16,6,2,341.0,good,with_parents,personal,salaried,0,0
41,23798.0,0.0,10199.0,4,0,2,927.0,good,own,car,self_employed,0,1
55,28134.0,18.0,1755.0,1,6,4,46.0,good,own,medical,salaried,0,0
50,74138.0,25.0,19297.0,19,2,0,394.0,average,own,medical,salaried,0,0
51,66873.0,24.0,52585.0,15,5,2,2286.0,excellent,rent,business,salaried,3,1
19,58358.0,9.0,11084.0,13,2,3,528.0,poor,with_parents,personal,self_employed,0,1
37,61917.0,14.0,24944.0,13,4,4,1467.0,excellent,rent,personal,student,0,0
20,60228.0,21.0,3745.0,26,2,1,150.0,poor,own,home_renovation,salaried,0,0
62,39180.0,20.0,17889.0,0,6,0,358.0,excellent,rent,car,salaried,0,0
44,45857.0,21.0,3112.0,2,1,3,69.0,average,rent,business,salaried,0,0
50,18495.0,35.0,13810.0,25,2,2,406.0,excellent,own,education,salaried,0,0
24,43385.0,33.0,32588.0,6,3,1,931.0,excellent,rent,business,salaried,0,0
50,66301.0,29.0,47709.0,25,1,0,1539.0,average,own,medical,salaried,1,1
22,33107.0,24.0,9629.0,14,5,4,357.0,average,own,business,salaried,0,0
29,63417.0,27.0,48302.0,18,0,1,1271.0,good,own,home_renovation,self_employed,0,0
35,46649.0,0.0,23863.0,19,0,1,411.0,average,own,business,self_employed,1,1
56,20063.0,3.0,7378.0,1,4,3,168.0,good,own,home_renovation,salaried,0,0
42,25068.0,6.0,14578.0,18,4,0,280.0,average,own,medical,salaried,0,0
23,61547.0,8.0,3723.0,8,3,3,110.0,good,own,home_renovation,student,0,0
52,54945.0,35.0,9424.0,18,5,3,349.0,good,rent,personal,salaried,0,0
24,46832.0,18.0,31890.0,26,6,2,638.0,good,with_parents,education,self_employed,0,0
40,40067.0,0.0,10319.0,4,0,4,573.0,good,rent,medical,salaried,0,0
29,48790.0,9.0,27240.0,17,0,1,1946.0,average,own,home_renovation,self_employed,1,1
66,60845.0,35.0,22959.0,15,0,0,792.0,excellent,own,car,self_employed,2,0
34,71565.0,8.0,55576.0,3,6,4,2779.0,excellent,own,medical,self_employed,2,1
51,72426.0,31.0,62254.0,11,0,4,1518.0,good,own,car,unemployed,2,1
27,51695.0,31.0,41409.0,28,2,0,2300.0,average,rent,education,student,0,1
24,41905.0,5.0,11735.0,6,5,4,367.0,excellent,rent,home_renovation,salaried,0,0
34,47632.0,37.0,10243.0,13,1,2,209.0,good,rent,medical,salaried,0,0
47,54398.0,16.0,24657.0,22,1,4,587.0,poor,rent,medical,salaried,0,0
21,54325.0,9.0,3055.0,11,3,2,255.0,excellent,own,education,self_employed,1,0
38,68544.0,26.0,4931.0,2,2,1,379.0,average,own,personal,self_employed,0,0
54,83084.0,34.0,43228.0,4,0,1,1029.0,average,rent,car,salaried,2,1
37,41305.0,20.0,20338.0,16,0,3,442.0,good,own,medical,salaried,1,0
44,83806.0,24.0,75039.0,25,4,2,3949.0,poor,own,business,self_employed,3,1
21,66100.0,27.0,14645.0,9,4,1,861.0,average,own,car,salaried,1,1
37,43185.0,14.0,11634.0,9,3,4,284.0,good,own,home_renovation,salaried,0,0
38,71974.0,3.0,10545.0,10,0,0,185.0,good,own,education,self_employed,0,0
50,75342.0,28.0,62527.0,16,3,0,1389.0,average,rent,car,salaried,0,0
25,36715.0,8.0,26109.0,4,2,2,1187.0,good,rent,business,salaried,0,0
59,76180.0,26.0,57058.0,12,1,3,1268.0,average,own,business,salaried,0,0
51,64351.0,25.0,52597.0,9,0,4,907.0,good,own,education,salaried,1,1
58,87634.0,18.0,43481.0,8,5,2,1279.0,excellent,rent,education,salaried,1,0
57,,27.0,16199.0,16,6,0,506.0,excellent,own,car,salaried,0,0
36,38638.0,16.0,12783.0,0,2,2,2130.0,excellent,own,home_renovation,salaried,0,0
58,8520.0,19.0,4693.0,3,0,4,82.0,excellent,own,personal,salaried,0,0
19,55281.0,39.0,24110.0,3,6,1,618.0,average,own,business,salaried,0,0
29,51755.0,38.0,22453.0,17,5,4,2495.0,average,rent,education,salaried,0,0
46,34866.0,22.0,29510.0,8,4,1,1018.0,average,rent,personal,student,0,1
43,43527.0,31.0,38583.0,29,3,1,1484.0,good,own,personal,salaried,0,0
68,21398.0,32.0,15557.0,24,4,1,409.0,average,own,personal,unemployed,0,1
41,66572.0,4.0,46151.0,28,1,2,3846.0,good,own,home_renovation,unemployed,0,1
49,36185.0,33.0,22741.0,28,4,0,3790.0,average,own,education,salaried,0,1
48,100693.0,39.0,19249.0,17,0,2,418.0,good,with_parents,business,self_employed,0,0
60,41839.0,10.0,4194.0,13,5,0,524.0,poor,rent,education,salaried,0,0
53,31327.0,2.0,19959.0,24,4,4,407.0,average,rent,car,self_employed,0,1
25,37578.0,32.0,25157.0,14,0,3,449.0,excellent,rent,business,salaried,2,0
34,19585.0,10.0,1761.0,5,1,4,88.0,good,rent,education,unemployed,0,0
44,53681.0,15.0,45030.0,23,6,2,1251.0,good,rent,business,salaried,0,0
66,37442.0,17.0,4773.0,9,5,2,81.0,excellent,own,car,self_employed,0,0
67,65363.0,29.0,19152.0,28,4,0,912.0,good,own,medical,salaried,0,0
20,40055.0,9.0,24895.0,14,3,2,1660.0,good,rent,business,unemployed,2,1
19,69920.0,17.0,13592.0,28,3,1,230.0,excellent,own,medical,salaried,0,0
66,58634.0,37.0,5694.0,3,5,2,167.0,poor,with_parents,personal,self_employed,0,0
30,45515.0,18.0,15087.0,17,3,0,1372.0,good,rent,home_renovation,salaried,0,0
23,73444.0,35.0,51490.0,17,4,0,1514.0,average,with_parents,car,salaried,0,0
55,62141.0,12.0,24957.0,24,4,1,1134.0,average,own,business,self_employed,0,0
50,98032.0,2.0,59312.0,16,5,0,1023.0,good,rent,car,student,0,0
27,37630.0,9.0,20421.0,11,4,3,756.0,good,own,personal,salaried,0,0
59,46379.0,37.0,3195.0,6,6,4,110.0,average,with_parents,medical,student,0,0
53,73237.0,0.0,65200.0,15,0,2,2964.0,poor,own,home_renovation,self_employed,0,1
37,17216.0,26.0,1467.0,10,1,3,56.0,excellent,rent,car,unemployed,0,0
66,68705.0,7.0,59954.0,13,6,2,1071.0,average,rent,medical,salaried,0,0
34,52907.0,16.0,27373.0,2,6,3,498.0,poor,own,personal,salaried,0,1
21,29012.0,8.0,25202.0,18,3,2,1575.0,average,own,personal,unemployed,0,1
38,20465.0,5.0,3019.0,17,0,1,252.0,poor,with_parents,personal,salaried,0,0
42,32895.0,24.0,15357.0,29,5,0,327.0,good,own,medical,salaried,0,0
51,8000.0,38.0,1553.0,9,7,0,35.0,poor,rent,business,salaried,0,0
42,36188.0,27.0,3377.0,5,3,1,338.0,average,own,education,salaried,0,0
29,56206.0,32.0,32313.0,12,0,3,659.0,excellent,rent,car,self_employed,0,0
67,36427.0,36.0,8255.0,9,4,4,156.0,poor,rent,education,self_employed,2,1
26,69990.0,8.0,38462.0,17,5,3,1479.0,good,own,personal,salaried,0,0
54,74879.0,17.0,10896.0,25,7,0,474.0,good,own,education,salaried,0,0
56,67962.0,20.0,22576.0,19,5,4,564.0,good,rent,medical,salaried,0,0
58,49152.0,1.0,35114.0,25,7,2,1405.0,excellent,own,personal,salaried,1,0
38,8000.0,37.0,3372.0,15,7,4,169.0,good,own,personal,salaried,0,0
53,32333.0,39.0,18869.0,24,3,3,1887.0,average,rent,home_renovation,unemployed,3,1
66,42443.0,35.0,25480.0,24,4,1,1416.0,excellent,own,home_renovation,self_employed,2,0
43,28910.0,36.0,22180.0,5,3,2,396.0,excellent,own,medical,salaried,0,0
53,42489.0,14.0,13859.0,12,7,3,815.0,excellent,rent,medical,unemployed,2,1
43,73981.0,27.0,46919.0,3,7,2,1805.0,good,own,education,salaried,0,0
47,15376.0,17.0,13337.0,22,2,4,318.0,average,own,car,self_employed,1,1
36,77610.0,33.0,52054.0,13,0,0,4732.0,average,own,education,salaried,0,1
64,60925.0,21.0,28415.0,0,2,3,2368.0,poor,rent,medical,self_employed,0,1
36,49828.0,10.0,29205.0,27,0,1,942.0,good,rent,car,salaried,0,0
20,32155.0,12.0,21825.0,19,1,4,464.0,excellent,rent,education,salaried,1,0
53,29269.0,3.0,16696.0,4,6,3,315.0,poor,own,business,salaried,0,1
34,,21.0,1009.0,7,5,1,78.0,average,own,business,salaried,0,0
59,75902.0,6.0,16361.0,11,3,3,1169.0,good,own,car,salaried,0,0
54,72677.0,23.0,53701.0,1,1,4,1678.0,average,own,home_renovation,salaried,0,1
51,19687.0,3.0,5547.0,11,1,3,616.0,poor,with_parents,car,salaried,0,0
